graph_file, vertices, probability, edges, degree
ER-500v-0.0001n-1.NET, 500, 0.0001, 26, 0.052
ER-500v-0.0001n-2.NET, 500, 0.0001, 46, 0.092
ER-500v-0.0001n-3.NET, 500, 0.0001, 24, 0.048
ER-500v-0.0008n-1.NET, 500, 0.0008, 220, 0.44
ER-500v-0.0008n-2.NET, 500, 0.0008, 184, 0.368
ER-500v-0.0008n-3.NET, 500, 0.0008, 228, 0.456
ER-500v-0.0016n-1.NET, 500, 0.0016, 400, 0.8
ER-500v-0.0016n-2.NET, 500, 0.0016, 364, 0.728
ER-500v-0.0016n-3.NET, 500, 0.0016, 380, 0.76
ER-5000v-0.0001n-1.NET, 5000, 0.0001, 2450, 0.49
ER-5000v-0.0001n-2.NET, 5000, 0.0001, 2468, 0.4936
ER-5000v-0.0001n-3.NET, 5000, 0.0001, 2592, 0.5184
ER-5000v-0.0008n-1.NET, 5000, 0.0008, 19658, 3.9316
ER-5000v-0.0008n-2.NET, 5000, 0.0008, 20236, 4.0472
ER-5000v-0.0008n-3.NET, 5000, 0.0008, 20302, 4.0604
ER-5000v-0.0016n-1.NET, 5000, 0.0016, 40392, 8.0784
ER-5000v-0.0016n-2.NET, 5000, 0.0016, 39922, 7.9844
ER-5000v-0.0016n-3.NET, 5000, 0.0016, 40152, 8.0304
ER-10000v-0.0001n-1.NET, 10000, 0.0001, 10076, 1.0076
ER-10000v-0.0001n-2.NET, 10000, 0.0001, 10230, 1.023
ER-10000v-0.0001n-3.NET, 10000, 0.0001, 9688, 0.9688
ER-10000v-0.0008n-1.NET, 10000, 0.0008, 79660, 7.966
ER-10000v-0.0008n-2.NET, 10000, 0.0008, 79552, 7.9552
ER-10000v-0.0008n-3.NET, 10000, 0.0008, 79606, 7.9606
ER-10000v-0.0016n-1.NET, 10000, 0.0016, 160144, 16.0144
ER-10000v-0.0016n-2.NET, 10000, 0.0016, 159832, 15.9832
ER-10000v-0.0016n-3.NET, 10000, 0.0016, 160068, 16.0068
